px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	3.04035	8.46642	-3.04035	8.46292	0.243462	8.6	0.25	-3.00029	0	6.90548e-310
8.44746	0.253121	3.03655	8.31513	-3.04033	8.44818	0.251553	8.45	0.25	-3.00027	0	6.90547e-310
8.46326	0.308585	2.94204	7.94233	-3.06826	8.56759	0.241943	8.45	0.25	0	0	6.90548e-310
8.45755	0.34304	2.62558	7.87397	-3.06157	8.45582	0.253997	8.45	0.25	0	0	6.90547e-310
8.32321	0.30547	1.41784	8.45701	-2.46734	8.42544	0.254042	8.35	0.25	-1.81979	0	6.90548e-310
8.27458	0.321031	1.23161	8.31211	-2.5093	8.23962	0.24916	8.25	0.25	-1.81978	0	6.90547e-310
8.02672	0.657128	3.95484	8.98544	0.313669	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	6.90548e-310
7.87999	0.535297	3.29271	9.09837	0.746638	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	6.90547e-310
7.70807	0.523539	3.28166	9.24881	1.14564	7.61269	0.155818	7.7	0.15	-2.99982	0	6.90548e-310
7.55766	0.402654	3.03643	9.51466	1.80454	7.54016	0.159641	7.55	0.15	-2.99982	0	6.90547e-310
7.46961	0.220808	2.56615	9.89147	2.62372	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	6.90548e-310
7.35282	0.109876	2.556	10.1039	2.7904	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	6.90547e-310
7.18723	0.146145	2.65021	9.90198	1.89142	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	6.90548e-310
7.06259	0.042679	2.6697	10.045	1.96237	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	6.90547e-310
6.95615	-0.0848756	2.68401	10.2271	2.11742	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	6.90548e-310
6.85967	-0.211026	2.70199	10.3605	2.14403	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	6.90547e-310
6.73497	-0.254455	2.65637	10.2909	1.77927	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	6.90548e-310
6.65232	-0.379881	2.68368	10.3978	1.80142	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	6.90547e-310
6.60001	-0.521058	2.70838	10.5441	1.90519	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	6.90548e-310
6.54944	-0.64632	2.70782	10.6414	1.90809	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	6.90547e-310
6.49932	-0.793496	2.71886	10.7444	1.9014	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	6.90548e-310
6.46729	-0.958923	2.74587	10.8572	1.90605	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	6.90547e-310
6.35499	-1.0281	2.61483	10.7472	1.53187	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	6.90548e-310
6.31222	-1.18209	2.6388	10.8271	1.52157	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	6.90547e-310
6.3844	-1.39263	2.7372	11.0767	1.79441	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	6.90548e-310
6.39493	-1.55951	2.76281	11.1729	1.78603	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	6.90547e-310
6.33018	-1.65004	2.65512	11.1026	1.522	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	6.90548e-310
6.32734	-1.80768	2.69094	11.1654	1.49919	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	6.90547e-310
6.36844	-1.96251	2.73205	11.2686	1.54336	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	6.90548e-310
6.39508	-2.11443	2.75849	11.3346	1.52532	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	6.90547e-310
6.38685	-2.24872	2.70728	11.3297	1.38417	6.32593	-2.40018	6.35	-2.4	0	-2.72613	6.90548e-310
6.4186	-2.4137	2.73474	11.3871	1.3581	6.34927	-2.55175	6.35	-2.55	0	-2.72611	6.90547e-310
6.46498	-2.56227	2.74034	11.4435	1.33045	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	6.90548e-310
6.50985	-2.72098	2.7625	11.4943	1.30225	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	6.90547e-310
6.52687	-2.84571	2.72425	11.4937	1.20167	6.46536	-3.00452	6.45	-3	0	-2.99754	6.90548e-310
6.55835	-2.99779	2.74857	11.5201	1.16121	6.44119	-3.14955	6.45	-3.15	0	-2.99754	6.90547e-310
6.61711	-3.14214	2.75326	11.5612	1.13072	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312	6.90548e-310
6.66246	-3.30457	2.77485	11.5858	1.08704	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312	6.90547e-310
6.74649	-3.44516	2.79558	11.6429	1.08851	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583	6.90548e-310
6.81607	-3.60071	2.8159	11.6728	1.05275	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581	6.90547e-310
6.88694	-3.73272	2.80041	11.697	1.0055	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396	6.90548e-310
6.9511	-3.89223	2.81897	11.7107	0.957571	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393	6.90547e-310
7.02068	-4.02226	2.79996	11.7267	0.9086	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801	6.90548e-310
7.0761	-4.18491	2.8135	11.7247	0.850607	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799	6.90547e-310
7.12975	-4.31063	2.76357	11.7165	0.772533	7.05156	-4.49706	7	-4.45	0.910054	-1.8201	6.90548e-310
7.18543	-4.46016	2.76626	11.7147	0.724587	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201	6.90547e-310
7.25677	-4.58448	2.74478	11.7236	0.683553	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489	6.90548e-310
7.30508	-4.74312	2.74853	11.7078	0.62556	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489	6.90547e-310
7.40791	-4.8721	2.77308	11.7422	0.631681	7.3138	-5.05204	7.25	-5	1.81907	-2.72861	6.90548e-310
7.45857	-5.03213	2.77643	11.722	0.572181	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861	6.90547e-310
7.53305	-5.15778	2.76139	11.7269	0.539596	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	6.90548e-310
7.58372	-5.32134	2.76619	11.7017	0.48005	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	6.90547e-310
7.6698	-5.44813	2.76249	11.7116	0.459757	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	6.90548e-310
7.7363	-5.59308	2.764	11.7019	0.422113	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	6.90547e-310
7.81087	-5.7157	2.7475	11.7027	0.394063	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	6.90548e-310
7.86361	-5.8694	2.74765	11.6786	0.344983	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	6.90547e-310
7.97511	-5.9832	2.79128	11.7192	0.384083	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	6.90548e-310
8.03302	-6.12758	2.79804	11.6982	0.340784	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	6.90547e-310
8.12381	-6.25346	2.79345	11.704	0.323932	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	6.90548e-310
8.20373	-6.39198	2.79682	11.6986	0.29903	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	6.90547e-310
8.28377	-6.51326	2.78307	11.6984	0.278468	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	6.90548e-310
8.34555	-6.66522	2.78583	11.6745	0.236601	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	6.90547e-310
8.43171	-6.78733	2.78255	11.6795	0.22807	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	6.90548e-310
8.506	-6.92359	2.78248	11.67	0.204741	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	6.90547e-310
8.57751	-7.03471	2.77234	11.6679	0.189612	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	6.90548e-310
8.63074	-7.17347	2.77493	11.6433	0.1536	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	6.90547e-310
8.73676	-7.28933	2.80941	11.6713	0.186261	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	6.90548e-310
8.79341	-7.43517	2.81716	11.6447	0.148389	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	6.90547e-310
8.85874	-7.56504	2.78944	11.6237	0.107442	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	6.90548e-310
8.92031	-7.71143	2.79018	11.6022	0.078588	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	6.90547e-310
8.99737	-7.82982	2.79436	11.6043	0.0784087	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	6.90548e-310
9.04331	-7.97324	2.79724	11.5749	0.0434466	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	6.90547e-310
9.08121	-8.10519	2.75733	11.5351	-0.0158256	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	6.90548e-310
9.13568	-8.24566	2.75384	11.5157	-0.035288	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	6.90547e-310
9.20988	-8.36797	2.76327	11.5198	-0.0251506	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	6.90548e-310
9.24534	-8.50984	2.76417	11.4887	-0.0560887	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	6.90547e-310
9.27996	-8.65072	2.73763	11.4465	-0.111935	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	6.90548e-310
9.32352	-8.7915	2.73266	11.4249	-0.128229	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	6.90547e-310
9.4703	-8.90376	2.7991	11.5196	0.0215755	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	6.90548e-310
9.50809	-9.05555	2.80894	11.4888	-0.0107404	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	6.90547e-310
9.55064	-9.18316	2.79233	11.4635	-0.0459377	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	6.90548e-310
9.59312	-9.32137	2.79485	11.4433	-0.0642431	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	6.90547e-310
9.62804	-9.44947	2.77928	11.4158	-0.0981075	9.47534	-9.42627	9.55	-9.5	0	-3.00023	6.90548e-310
9.64671	-9.59994	2.78359	11.3785	-0.13136	9.54779	-9.64959	9.55	-9.65	0	-3.0002	6.90547e-310
9.71349	-9.73164	2.79717	11.388	-0.10645	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	6.90548e-310
9.73273	-9.88264	2.80245	11.3535	-0.136101	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	6.90547e-310
9.7461	-10.0298	2.78015	11.305	-0.194892	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	6.90548e-310
9.78152	-10.1735	2.77581	11.2881	-0.20152	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	6.90547e-310
9.81916	-10.3109	2.77709	11.2728	-0.209756	9.92627	-10.4745	9.75	-10.3	0	-3.00065	6.90548e-310
9.82995	-10.4563	2.77939	11.2416	-0.230716	9.75524	-10.4732	9.75	-10.45	0	-3.00063	6.90547e-310
9.87319	-10.6012	2.78264	11.2408	-0.211518	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	6.90548e-310
9.89468	-10.7543	2.78286	11.2182	-0.222569	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	6.90547e-310
9.89628	-10.9061	2.77	11.171	-0.273988	9.88465	-10.9383	9.85	-10.9	0	-2.73074	6.90548e-310
9.90118	-11.0592	2.76873	11.1415	-0.288717	9.83614	-11.041	9.85	-11.05	0	-2.73073	6.90547e-310
9.9158	-11.1955	2.76739	11.1238	-0.292547	9.83952	-11.1692	9.85	-11.2	0	-2.99965	6.90548e-310
9.91009	-11.3402	2.77008	11.0928	-0.308673	9.84568	-11.3496	9.85	-11.35	0	-2.99961	6.90547e-310
9.92326	-11.4799	2.77239	11.0787	-0.305902	9.87961	-11.5637	9.85	-11.5	0	-2.99843	6.90548e-310
9.9084	-11.6252	2.77532	11.0453	-0.323598	9.83206	-11.6307	9.85	-11.65	0	-2.99843	6.90547e-310
9.82698	-11.7647	2.75044	10.9258	-0.479268	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	6.90548e-310
9.80254	-11.8967	2.74568	10.8933	-0.488325	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	6.90547e-310
9.77514	-12.0309	2.74282	10.857	-0.505228	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	6.90548e-310
9.73165	-12.1678	2.74394	10.8163	-0.52028	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	6.90547e-310
9.6554	-12.3001	2.73869	10.7273	-0.616289	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	6.90548e-310
9.60403	-12.4228	2.73234	10.6876	-0.625969	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	6.90547e-310
9.47386	-12.5363	2.72468	10.5512	-0.783444	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	6.90548e-310
9.40367	-12.6458	2.71591	10.5049	-0.792	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	6.90547e-310
9.31919	-12.7716	2.71532	10.4466	-0.814539	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	6.90548e-310
9.23614	-12.8803	2.70274	10.3975	-0.821613	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	6.90547e-310
9.05612	-12.9554	2.71163	10.2183	-1.03412	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	6.90548e-310
8.93565	-13.0375	2.70938	10.15	-1.05006	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	6.90547e-310
8.78545	-13.1129	2.71461	10.0433	-1.12351	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	6.90548e-310
8.66086	-13.1756	2.70103	9.97441	-1.13434	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	6.90547e-310
8.51165	-13.2201	2.71094	9.8664	-1.21398	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	6.90548e-310
8.3813	-13.258	2.70347	9.79588	-1.22537	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	6.90547e-310
8.20202	-13.2691	2.72075	9.65781	-1.33543	8.22926	-13.1698	8.2	-13.15	-2.72741	0	6.90548e-310
8.05083	-13.2768	2.7115	9.57166	-1.35051	8.03583	-13.1513	8.05	-13.15	-2.72742	0	6.90547e-310
7.89364	-13.278	2.71348	9.48056	-1.37353	7.82914	-13.0525	7.9	-13.15	-2.72986	0	6.90548e-310
7.74682	-13.2628	2.70409	9.39518	-1.38649	7.76538	-13.1647	7.75	-13.15	-2.72986	0	6.90547e-310
7.64291	-13.3071	2.66879	9.40817	-1.25676	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	6.90548e-310
7.50148	-13.2926	2.67179	9.33857	-1.26177	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	6.90547e-310
7.35511	-13.2754	2.6669	9.27599	-1.24677	7.21108	-13.0985	7.3	-13.25	-2.72846	0	6.90548e-310
7.20465	-13.2473	2.67156	9.20581	-1.24649	7.16011	-13.2382	7.15	-13.25	-2.72844	0	6.90547e-310
